Iteration	Solution Residual	Mass Conservation Residual	Hematocrit Residual
1	0.844441	6.69671e-12	0.14442
2	0.415254	9.22525e-11	0.0632685
3	0.0982467	-1.33886e-11	0.00353103
4	0.00692653	3.17577e-10	0.00174264
5	0.00299397	8.60686e-11	0.000746708
6	0.000893324	1.79645e-10	0.000481526
7	0.000631922	-3.98817e-11	0.000271468
8	0.000320777	1.12706e-10	0.000166411
9	0.000204762	2.19972e-10	9.85635e-05
10	0.000118803	-1.08827e-11	5.93552e-05
11	7.21949e-05	5.94501e-10	3.54813e-05
12	4.29778e-05	-3.58307e-11	2.12818e-05
13	2.58282e-05	-3.59038e-10	1.27451e-05
14	1.54551e-05	-8.20832e-11	7.63785e-06
15	9.26592e-06	-1.27246e-11	4.57562e-06
16	5.5502e-06	2.65689e-10	2.74145e-06
17	3.32584e-06	-6.55885e-11	1.64236e-06
18	1.99245e-06	-1.36395e-10	9.83918e-07
19	1.19382e-06	1.10753e-10	5.89427e-07
20	7.15124e-07	4.47635e-11	3.53094e-07
21	4.28542e-07	3.98103e-11	2.11513e-07
22	2.56737e-07	9.51334e-12	1.26698e-07
23	1.53959e-07	-9.25779e-11	7.58914e-08
24	9.24626e-08	4.94921e-10	4.54571e-08
25	5.55903e-08	-6.77746e-11	2.72266e-08
26	3.32964e-08	-1.1598e-11	1.6307e-08
27	2.07599e-08	3.34393e-10	9.76668e-09
28	1.28596e-08	1.67389e-10	5.84927e-09
29	7.88649e-09	-2.91286e-11	3.50293e-09
30	5.33567e-09	1.75992e-10	2.09784e-09
